# ----------------------------------------
# Todos os dados do website
# Termos de pesquisa
# 20190702-20190708
# ----------------------------------------

Termo de pesquisa,Total de pesquisas exclusivas,Visualizações de página dos resultados/Pesquisa,Porcentagem de saídas de pesquisa,Porcentagem de refinamentos de pesquisa,Tempo depois da pesquisa,Média de páginas por visita
Concurso da polícia civil,1,"3,00","0,00%","33,33%",00:02:51,"2,00"
Concurso da Polícia Civil,1,"1,00","0,00%","0,00%",00:14:21,"1,00"
Concurso da Polícia Civil para IML,1,"4,00","0,00%","0,00%",00:15:45,"9,00"
Concurso da Polícia Civil para necropsia,1,"2,00","0,00%","50,00%",00:08:07,"3,00"
Concurso da policia civil RJ,1,"2,00","0,00%","50,00%",00:00:27,"0,00"
Concurso da polícia civil RJ,1,"5,00","0,00%","0,00%",00:05:49,"7,00"
Concurso da polícia Civil rj 2019,1,"6,00","0,00%","0,00%",00:01:31,"1,00"
Concurso da Polícia Militar,1,"1,00","0,00%","0,00%",00:03:58,"5,00"
concurso da prefeitura,1,"2,00","0,00%","50,00%",00:00:39,"0,00"
Concurso da Prefeitura do RJ saúde 201,1,"9,00","0,00%","11,11%",00:03:39,"2,00"
concurso da prefeitura sme,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso da uni rio 2019,1,"2,00","0,00%","0,00%",00:01:19,"9,00"
Concurso da vigilância sanitária rj,1,"2,00","0,00%","0,00%",00:01:37,"6,00"
concurso das forçar armadas,1,"2,00","0,00%","50,00%",00:00:41,"0,00"
Concurso de Agente Educador II 2019 rj,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso de araruama,1,"1,00","0,00%","0,00%",00:10:35,"1,00"
Concurso de Araruama,1,"2,00","0,00%","50,00%",00:00:37,"1,00"
concurso de assiste social,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso de auxiliar de vigilância sanitária,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso de bombeiros Militar 2019,1,"10,00","100,00%","0,00%",00:02:35,"0,00"
Concurso de Cabo frio,1,"2,00","0,00%","0,00%",00:55:53,"4,00"
Concurso de Cabo frio 2o19,1,"2,00","0,00%","0,00%",00:03:07,"1,00"
Concurso de enfermagem,1,"2,00","0,00%","0,00%",00:05:01,"11,00"
concurso de fortaleza,1,"7,00","0,00%","28,57%",00:29:19,"12,00"
CONCURSO DE GARI,1,"2,00","0,00%","0,00%",00:02:21,"4,00"
concurso de gari comlurb,1,"7,00","0,00%","0,00%",00:11:29,"3,00"
concurso de manacapuru,1,"2,00","0,00%","0,00%",00:00:08,"1,00"
concurso de necropsia,1,"2,00","0,00%","50,00%",00:05:43,"5,00"
Concurso de nicropsia,1,"3,00","0,00%","33,33%",00:07:27,"15,00"
concurso de professor,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso de professor adjunto de educação infantil 2019 rj,1,"5,00","0,00%","0,00%",00:00:57,"10,00"
Concurso de professores,1,"1,00","0,00%","0,00%",00:01:14,"3,00"
Concurso de professores que sai o resultado dia 03/07/2019,1,"1,00","0,00%","100,00%",00:16:29,"8,00"
Concurso de Rio das ostras,1,"1,00","0,00%","0,00%",00:00:45,"2,00"
Concurso de Rio das Ostras,1,"2,00","0,00%","50,00%",00:03:55,"10,00"
concurso de silva jardim,1,"2,00","0,00%","50,00%",00:00:45,"0,00"
concurso de silva jardim 2019,1,"2,00","0,00%","0,00%",00:01:18,"1,00"
Concurso de técnico de necropsia Rio de Janeiro 2019,1,"2,00","0,00%","50,00%",00:05:10,"3,00"
concurso de tecnico de radiologia,1,"6,00","0,00%","16,67%",00:08:04,"22,00"
concurso degarí da prefeitura do rio,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso degase,1,"2,00","0,00%","0,00%",00:22:25,"6,00"
Concurso delegado rj,1,"6,00","100,00%","0,00%",00:02:23,"0,00"
concurso depen,1,"3,00","0,00%","33,33%",00:00:49,"4,00"
concurso detran,1,"2,00","0,00%","50,00%",00:00:29,"0,00"
concurso detran convocações,1,"2,00","0,00%","0,00%",00:00:30,"3,00"
concurso detran rj,1,"2,00","0,00%","50,00%",00:04:40,"40,00"
Concurso Detran rj,1,"2,00","0,00%","0,00%",00:01:42,"1,00"
Concurso direito,1,"2,00","0,00%","50,00%",00:01:01,"0,00"
Concurso dnit,1,"2,00","0,00%","50,00%",00:02:52,"7,00"
concurso do depen,1,"1,00","0,00%","0,00%",00:02:22,"1,00"
Concurso do IFPE,1,"3,00","100,00%","0,00%",00:01:37,"0,00"
concurso do inss,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso do inss,1,"3,00","100,00%","0,00%",00:07:15,"1,00"
concurso do INSS 2019,1,"2,00","0,00%","0,00%",00:00:15,"1,00"
Concurso do INSS 2019,1,"2,00","0,00%","0,00%",00:01:30,"2,00"
Concurso do juazeiro do norte,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso do professor adjunto da educação infantil,1,"4,00","100,00%","0,00%",00:00:44,"0,00"
Concurso do rj,1,"1,00","0,00%","0,00%",00:01:58,"1,00"
concurso dpe rj,1,"1,00","0,00%","100,00%",00:00:32,"0,00"
concurso dpe rj 2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso duas barras 2019,1,"1,00","0,00%","0,00%",00:04:21,"1,00"
concurso educação,1,"3,00","100,00%","0,00%",00:00:34,"2,00"
Concurso educação - prefeitura do Rio,1,"2,00","0,00%","50,00%",00:01:24,"0,00"
Concurso educação física,1,"4,00","100,00%","0,00%",00:00:27,"0,00"
Concurso educador infantil II Rj 2019,1,"4,00","0,00%","0,00%",00:01:25,"1,00"
Concurso eletronuclea,1,"11,00","0,00%","9,09%",00:08:35,"8,00"
Concurso em aberto rj,1,"2,00","0,00%","0,00%",00:01:18,"1,00"
concurso em andamento,1,"2,00","0,00%","0,00%",00:13:28,"26,00"
Concurso em bauru,1,"6,00","0,00%","0,00%",00:01:33,"2,00"
concurso em betim,1,"2,00","0,00%","50,00%",00:17:57,"0,00"
Concurso em cabo frio RJ,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso em Itapetininga,1,"6,00","0,00%","16,67%",00:01:22,"1,00"
Concurso em Itapetiningasorocaba,1,"4,00","100,00%","25,00%",00:00:34,"0,00"
Concurso em jp,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso em manaus,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso em Pernambuco,1,"4,00","0,00%","25,00%",00:20:05,"16,00"
Concurso em Pernambuco 2019,1,"4,00","0,00%","25,00%",00:01:28,"0,00"
Concurso em queimados,1,"3,00","0,00%","0,00%",00:47:03,"16,00"
concurso embrapa,1,"1,00","0,00%","0,00%",00:00:19,"2,00"
Concurso enfermagem,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
CONCURSO ENFERMAGEM 2019,1,"2,00","0,00%","50,00%",00:02:24,"11,00"
concurso enfermagem prefeitura rj 2019,1,"2,00","0,00%","50,00%",00:00:20,"0,00"
concurso enfermeiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso enfermeiro ],1,"2,00","0,00%","50,00%",00:00:43,"0,00"
Concurso enfermeiro técnico e auxiliar,1,"2,00","100,00%","0,00%",00:00:03,"0,00"
concurso epe,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso EsFCEx: conheça a progressão da carreira e tire dúvidas,1,"2,00","0,00%","0,00%",00:00:03,"2,00"
Concurso estado do RJ,1,"1,00","0,00%","0,00%",00:00:11,"1,00"
Concurso exército rj,1,"2,00","0,00%","50,00%",00:01:13,"1,00"
Concurso farmacêutica Guarulhos,1,"9,00","0,00%","0,00%",00:03:41,"8,00"
Concurso Fhemig,1,"2,00","100,00%","0,00%",00:02:30,"1,00"
Concurso formação de oficial da PM Bahia,1,"4,00","0,00%","25,00%",00:02:34,"2,00"
Concurso formosa goias,1,"2,00","0,00%","0,00%",00:03:33,"1,00"
Concurso funasa,1,"7,00","0,00%","14,29%",00:05:36,"6,00"
Concurso funasa 2019,1,"1,00","0,00%","100,00%",00:00:17,"0,00"
concurso gari do RJ,1,"3,00","100,00%","0,00%",00:00:56,"0,00"
Concurso gari rj,1,"4,00","0,00%","0,00%",00:00:24,"2,00"
concurso geologia,1,"4,00","100,00%","0,00%",00:01:39,"0,00"
Concurso Goiás,1,"2,00","0,00%","0,00%",00:00:14,"2,00"
Concurso guarda municipal,1,"5,00","100,00%","0,00%",00:04:10,"1,00"
Concurso guarda rj,1,"6,00","0,00%","0,00%",00:05:01,"9,00"
concurso hospital,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
concurso hospital graffé e guille,1,"2,00","0,00%","50,00%",00:00:11,"0,00"
concurso ibge,1,"2,00","0,00%","0,00%",00:05:03,"7,00"
Concurso IBGE Curitiba PR,1,"2,00","0,00%","0,00%",00:01:04,"10,00"
concurso ibge ms,1,"2,00","0,00%","0,00%",00:02:51,"3,00"
Concurso ifba,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso ifbaiano 2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso inpetor seap rj,1,"3,00","0,00%","66,67%",00:00:35,"0,00"
Concurso inspetor seap rj,1,"2,00","0,00%","50,00%",00:00:49,"0,00"
Concurso inss 2019,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso INSS Rio de Janeiro,1,"2,00","0,00%","50,00%",00:01:34,"1,00"
Concurso interior,1,"1,00","0,00%","100,00%",00:07:34,"1,00"
Concurso itaperuna,1,"3,00","0,00%","0,00%",00:04:52,"10,00"
concurso joao camara,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso Juíz de Fora MG,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso jurídico,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso ldam motorista,1,"2,00","0,00%","0,00%",00:16:11,"7,00"
Concurso lidam motorista,1,"2,00","0,00%","50,00%",00:00:44,"0,00"
Concurso maca,1,"2,00","0,00%","50,00%",00:00:24,"0,00"
Concurso Macaé,1,"2,00","0,00%","0,00%",00:00:14,"2,00"
Concurso magistério,1,"4,00","0,00%","25,00%",00:00:44,"0,00"
Concurso magistério rj,1,"2,00","0,00%","50,00%",00:00:32,"0,00"
Concurso magistério rj 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso Maricá,1,"2,00","100,00%","0,00%",00:07:22,"0,00"
Concurso Marinha do Brasil,1,"3,00","100,00%","0,00%",00:00:46,"1,00"
Concurso merendeira,1,"1,00","0,00%","0,00%",00:00:52,"3,00"
Concurso merendeira 2019,1,"2,00","0,00%","0,00%",00:00:51,"2,00"
concurso mg,1,"1,00","0,00%","0,00%",00:00:39,"2,00"
Concurso Miguel Pereira,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
concurso militar,1,"4,00","0,00%","25,00%",00:20:48,"2,00"
Concurso militar aberto,1,"3,00","100,00%","0,00%",00:00:45,"0,00"
concurso ministério da defesa,1,"2,00","0,00%","0,00%",00:02:55,"5,00"
Concurso Ministério Publico do Rio,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso motorista,1,"7,00","100,00%","0,00%",00:02:40,"2,00"
Concurso mpe,1,"4,00","0,00%","0,00%",00:07:39,"4,00"
concurso mpf,1,"1,00","0,00%","100,00%",00:00:15,"0,00"
Concurso municipal rj,1,"1,00","0,00%","0,00%",00:02:17,"2,00"
concurso musicoterapia,1,"6,00","0,00%","16,67%",00:03:05,"0,00"
Concurso na área da saúde de Saquarema RJ,1,"2,00","0,00%","0,00%",00:00:21,"1,00"
Concurso na Comlurb,1,"4,00","100,00%","0,00%",00:02:38,"0,00"
concurso nacional,1,"3,00","100,00%","0,00%",00:01:35,"0,00"
Concurso necropsia,1,"2,00","0,00%","50,00%",00:01:06,"0,00"
Concurso Niterói clin,1,"1,00","0,00%","0,00%",00:05:37,"3,00"
concurso nivel fundamental,1,"2,00","0,00%","0,00%",00:00:51,"1,00"
concurso nivel medio,1,"1,00","0,00%","100,00%",00:00:41,"0,00"
concurso nível médio,1,"5,00","0,00%","40,00%",00:01:29,"0,00"
Concurso nível médio,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso nível médio banco,1,"2,00","0,00%","0,00%",00:00:22,"2,00"
concurso nível médio rj,1,"1,00","0,00%","100,00%",00:07:05,"11,00"
Concurso no ES,1,"6,00","0,00%","16,67%",00:02:05,"1,00"
Concurso no estado do ceará,1,"1,00","0,00%","0,00%",00:00:57,"1,00"
Concurso no Maranhão,1,"5,00","100,00%","20,00%",00:07:50,"0,00"
Concurso no município do Rio de Janeiro,1,"3,00","0,00%","0,00%",00:12:02,"15,00"
Concurso no para,1,"2,00","0,00%","50,00%",00:02:04,"1,00"
concurso no rio de janeiro,1,"2,00","0,00%","0,00%",00:07:28,"4,00"
Concurso Nova Iguaçú,1,"1,00","0,00%","0,00%",00:38:40,"20,00"
Concurso nóva iguaçu,1,"1,00","0,00%","100,00%",00:04:33,"2,00"
concurso oceanografia,1,"2,00","0,00%","50,00%",00:01:34,"0,00"
concurso oceanografo,1,"2,00","0,00%","50,00%",00:00:11,"0,00"
Concurso oficial da Paraíba,1,"1,00","0,00%","100,00%",00:00:44,"0,00"
Concurso oficial da Paraíba 2019,1,"1,00","0,00%","100,00%",00:00:28,"0,00"
Concurso oficial de justiça,1,"6,00","0,00%","16,67%",00:05:26,"2,00"
concurso online,1,"2,00","0,00%","50,00%",00:00:42,"0,00"
concurso paei,1,"1,00","0,00%","0,00%",00:09:30,"9,00"
Concurso PAEI,1,"2,00","0,00%","50,00%",00:00:07,"0,00"
concurso Paei 2019,1,"1,00","0,00%","100,00%",00:00:20,"0,00"
Concurso paei 2019,1,"6,00","0,00%","0,00%",00:06:38,"1,00"
Concurso paei 2019rj,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso PAEI PCRJ,1,"6,00","0,00%","0,00%",00:22:22,"7,00"
Concurso PAEI rj,1,"2,00","0,00%","50,00%",00:00:33,"0,00"
Concurso para a marinha,1,"1,00","0,00%","100,00%",00:02:29,"1,00"
Concurso para a marinha rj,1,"2,00","0,00%","50,00%",00:00:25,"0,00"
Concurso para abrir,1,"5,00","100,00%","0,00%",00:00:42,"1,00"
Concurso para agente de trânsito e transportes,1,"3,00","0,00%","33,33%",00:01:20,"0,00"
Concurso para agente de trânsito e transportes 2019,1,"6,00","100,00%","0,00%",00:01:36,"0,00"
Concurso para ANAC,1,"8,00","100,00%","0,00%",00:32:20,"0,00"
Concurso para auditor,1,"3,00","100,00%","0,00%",00:02:13,"1,00"
Concurso para auxiliar de necropsia da polícia civil,1,"5,00","100,00%","0,00%",00:03:42,"0,00"
concurso para auxiliar de professora,1,"1,00","0,00%","0,00%",00:02:57,"3,00"
Concurso para bombeiros,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso para bombeiros RJ,1,"2,00","0,00%","0,00%",00:04:49,"6,00"
concurso para cabo frio,1,"2,00","0,00%","50,00%",00:02:18,"1,00"
concurso para Colégio pedro II,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso para Columrb,1,"3,00","100,00%","33,33%",00:00:27,"0,00"
Concurso para Eng. Eletricista,1,"4,00","0,00%","25,00%",00:00:53,"0,00"
Concurso para fisioterapia,1,"2,00","100,00%","0,00%",00:02:45,"1,00"
Concurso para fisioterapia rj,1,"1,00","0,00%","100,00%",00:00:09,"0,00"
Concurso para guarda marítima,1,"4,00","0,00%","0,00%",00:23:02,"3,00"
concurso para IFMT,1,"8,00","0,00%","0,00%",00:04:41,"1,00"
Concurso para INSS,1,"3,00","100,00%","0,00%",00:01:26,"0,00"
Concurso para INSS Rj,1,"5,00","0,00%","0,00%",00:04:44,"6,00"
Concurso para marceneiro,1,"3,00","0,00%","66,67%",00:00:33,"0,00"
Concurso para marceneiro hj,1,"7,00","0,00%","28,57%",00:01:48,"0,00"
Concurso para marinha,1,"4,00","100,00%","0,00%",00:02:56,"0,00"
Concurso Para médico rio de janeiro,1,"8,00","100,00%","0,00%",00:02:47,"0,00"
concurso para nivel medio,1,"14,00","100,00%","14,29%",00:04:54,"1,00"
Concurso para nova friburgo,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso para o exército rj,1,"4,00","0,00%","25,00%",00:02:14,"0,00"
Concurso para o senado,1,"2,00","0,00%","50,00%",00:05:58,"1,00"
Concurso para pm,1,"2,00","0,00%","0,00%",00:02:10,"2,00"
concurso para policia civil,1,"1,00","0,00%","100,00%",00:00:29,"0,00"
Concurso para policia Civil são Paulo,1,"8,00","0,00%","12,50%",00:09:30,"0,00"
CONCURSO PARA RIO DE JANEIRO,1,"2,00","0,00%","0,00%",00:00:56,"1,00"
Concurso para saude,1,"2,00","0,00%","0,00%",00:00:30,"3,00"
concurso para tec.de enfermagem,1,"12,00","0,00%","0,00%",00:19:52,"24,00"
Concurso para técnico de enfermagem,1,"12,00","0,00%","0,00%",00:05:31,"5,00"
Concurso para técnico escola,1,"3,00","0,00%","33,33%",00:04:45,"2,00"
Concurso para.gari,1,"2,00","100,00%","0,00%",00:00:13,"0,00"
concurso parana,1,"4,00","100,00%","0,00%",00:01:22,"1,00"
Concurso parei rj,1,"1,00","0,00%","0,00%",00:15:18,"3,00"
concurso pc,1,"2,00","0,00%","0,00%",00:01:39,"10,00"
concurso PC,1,"1,00","0,00%","0,00%",00:05:00,"7,00"
Concurso PC GO,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso pc rj,1,"2,00","0,00%","0,00%",00:00:31,"1,00"
Concurso Pc rj,1,"2,00","0,00%","0,00%",00:03:02,"11,00"
Concurso Pc RJ 2019,1,"2,00","0,00%","50,00%",00:00:52,"0,00"
Concurso PC rj 2019,1,"2,00","0,00%","50,00%",00:01:10,"2,00"
concurso PC-RJ,1,"3,00","0,00%","0,00%",00:22:31,"5,00"
Concurso pcdf,1,"9,00","0,00%","11,11%",00:08:28,"27,00"
concurso pcrj,1,"1,00","0,00%","0,00%",00:00:25,"1,00"
Concurso pcrj,1,"6,00","0,00%","0,00%",00:06:08,"10,00"
concurso pcrj 2019,1,"2,00","0,00%","0,00%",00:07:56,"2,00"
concurso pedro 2,1,"4,00","0,00%","0,00%",00:18:31,"4,00"
Concurso pedro ii,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso Pedro Ii,1,"2,00","0,00%","0,00%",00:00:08,"1,00"
Concurso Pedro segundo,1,"4,00","100,00%","25,00%",00:00:25,"0,00"
Concurso Pedro segundo 2019,1,"1,00","0,00%","100,00%",00:01:22,"3,00"
Concurso Pedro!!,1,"2,00","0,00%","0,00%",00:00:50,"3,00"
concurso penedo alagoas,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso perito 2019,1,"2,00","0,00%","0,00%",00:05:57,"17,00"
Concurso perito rj,1,"6,00","0,00%","0,00%",00:51:22,"26,00"
Concurso perjúrio,1,"2,00","0,00%","50,00%",00:00:15,"0,00"
concurso pf,1,"2,00","0,00%","50,00%",00:00:18,"0,00"
concurso pf 2019,1,"1,00","0,00%","0,00%",00:01:03,"1,00"
concurso pf administrativo,1,"2,00","0,00%","0,00%",00:14:10,"13,00"
Concurso pf pe,1,"2,00","0,00%","0,00%",00:17:08,"31,00"
concurso pgm,1,"1,00","0,00%","0,00%",00:00:30,"1,00"
concurso pm es,1,"2,00","0,00%","0,00%",00:00:36,"1,00"
Concurso PM pr,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso PM RJ,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso pm sp,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso pmerj,1,"3,00","100,00%","0,00%",00:01:44,"1,00"
Concurso PMERJ,1,"3,00","100,00%","0,00%",00:04:35,"1,00"
CONCURSO PMERJ,1,"2,00","0,00%","0,00%",00:04:41,"2,00"
Concurso PMRJ,1,"3,00","100,00%","0,00%",00:00:56,"0,00"
CONCURSO PMRJ 2020,1,"2,00","0,00%","50,00%",00:02:59,"5,00"
Concurso policia civil,1,"2,00","0,00%","0,00%",00:00:42,"1,00"
concurso polícia civil,1,"2,00","0,00%","50,00%",00:00:40,"0,00"
Concurso polícia civil -RJ,1,"1,00","0,00%","0,00%",00:03:18,"12,00"
Concurso policia civil 2019,1,"1,00","0,00%","100,00%",00:00:13,"0,00"
Concurso polícia civil Brasília,1,"3,00","0,00%","33,33%",00:00:44,"0,00"
concurso policia civil ceará,1,"2,00","0,00%","50,00%",00:01:37,"0,00"
Concurso policia civil estado do rio de janeiro,1,"3,00","0,00%","33,33%",00:00:55,"2,00"
Concurso polícia civil necropsia,1,"2,00","0,00%","50,00%",00:00:20,"0,00"
concurso policia civil pará,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso policia civil Rio de Janeiro,1,"3,00","0,00%","0,00%",00:01:26,"6,00"
Concurso polícia civil rj necropsia,1,"2,00","0,00%","50,00%",00:00:12,"0,00"
concurso policia civil rn,1,"2,00","0,00%","50,00%",00:00:39,"1,00"
concurso polícia civil RS,1,"3,00","100,00%","0,00%",00:00:17,"0,00"
Concurso polícia civil Th,1,"1,00","0,00%","100,00%",00:00:12,"0,00"
Concurso polícia civil tu,1,"2,00","0,00%","50,00%",00:00:28,"0,00"
Concurso policia federal,1,"13,00","0,00%","7,69%",00:02:47,"4,00"
Concurso policia militar,1,"2,00","0,00%","50,00%",00:00:17,"0,00"
concurso polícia militar de são paulo,1,"1,00","0,00%","100,00%",00:07:08,"10,00"
Concurso polícia militar do Estado do Rio de janeiro,1,"5,00","100,00%","0,00%",00:00:21,"0,00"
Concurso Polícia Militar Rio de Janeiro,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso policia militar rj,1,"2,00","0,00%","0,00%",00:00:29,"1,00"
Concurso pra enfermeira,1,"2,00","0,00%","0,00%",00:02:20,"1,00"
Concurso pra ligth,1,"2,00","0,00%","50,00%",00:00:04,"0,00"
Concurso pra pf,1,"4,00","0,00%","25,00%",00:02:58,"7,00"
Concurso pra polícia federal,1,"10,00","0,00%","20,00%",00:16:30,"83,00"
concurso pra queimados,1,"1,00","0,00%","0,00%",00:03:22,"3,00"
concurso pra técnicos em emfermagem,1,"4,00","0,00%","0,00%",00:32:44,"9,00"
Concurso pra volta redonda,1,"2,00","0,00%","0,00%",00:01:04,"1,00"
Concurso prefeitura,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso prefeitura Araruama,1,"5,00","100,00%","0,00%",00:02:52,"2,00"
concurso prefeitura cabo frio,1,"2,00","0,00%","0,00%",00:01:06,"1,00"
Concurso prefeitura campinas,1,"2,00","0,00%","0,00%",00:22:50,"5,00"
Concurso prefeitura de araruamw,1,"2,00","0,00%","50,00%",00:03:31,"6,00"
concurso prefeitura de cabo frio,1,"1,00","0,00%","0,00%",00:06:37,"5,00"
Concurso prefeitura de Cabo frio,1,"2,00","0,00%","0,00%",00:02:48,"4,00"
"Concurso prefeitura de Guapimirim-RJ, 2019",1,"3,00","0,00%","33,33%",00:07:51,"9,00"
Concurso prefeitura de Itaperuna RJ,1,"2,00","0,00%","0,00%",00:00:22,"1,00"
Concurso prefeitura de salvador,1,"2,00","0,00%","0,00%",00:01:53,"2,00"
Concurso prefeitura do Rio,1,"1,00","0,00%","0,00%",00:00:15,"1,00"
Concurso prefeitura rj,1,"1,00","0,00%","0,00%",00:00:19,"1,00"
CONCURSO PREVISTO 2019,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso previstos,1,"4,00","0,00%","25,00%",00:08:02,"11,00"
Concurso previstos 2020,1,"4,00","0,00%","0,00%",00:03:13,"5,00"
Concurso PRF 2019,1,"4,00","0,00%","0,00%",00:02:42,"7,00"
Concurso professa adjunto educação infantil,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso professor adjunto,1,"1,00","0,00%","0,00%",00:03:47,"1,00"
concurso Professor adjunto 2019,1,"4,00","100,00%","0,00%",00:02:38,"1,00"
Concurso professor adjunto 2019,1,"1,00","0,00%","0,00%",00:01:00,"1,00"
Concurso professor adjunto de educação infantil,1,"1,00","0,00%","0,00%",00:04:03,"4,00"
Concurso professor adjunto do Rj,1,"6,00","0,00%","16,67%",01:06:13,"29,00"
Concurso professor adjunto rj,1,"4,00","0,00%","0,00%",00:05:33,"2,00"
Concurso Professor adjunto rj,1,"2,00","0,00%","50,00%",00:01:00,"1,00"
concurso professor vila vel,1,"2,00","0,00%","50,00%",00:00:46,"0,00"
concurso professor vila velha,1,"4,00","0,00%","25,00%",00:00:56,"0,00"
Concurso psicologia,1,"4,00","0,00%","25,00%",00:00:51,"0,00"
concurso publico,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso público administrativo da prefeitura de vila velha es 05/07/19,1,"2,00","0,00%","0,00%",00:03:58,"1,00"
Concurso público agente penitenciário,1,"4,00","0,00%","0,00%",00:04:10,"3,00"
Concurso público AL,1,"2,00","0,00%","50,00%",00:00:40,"0,00"
Concurso público araruama,1,"6,00","0,00%","16,67%",00:01:28,"0,00"
Concurso público araruama 2019,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
concurso publico cabo frio,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso publico da Colurb,1,"7,00","100,00%","0,00%",00:03:24,"7,00"
Concurso público de Silva Jardim,1,"2,00","100,00%","0,00%",00:00:01,"0,00"
Concurso público df,1,"2,00","0,00%","0,00%",00:04:38,"3,00"
Concurso público para agente administrativo da PF,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
Concurso público para cabo frio,1,"2,00","100,00%","0,00%",00:00:03,"0,00"
Concurso público para cabreuva,1,"4,00","0,00%","0,00%",00:06:27,"6,00"
Concurso público para Maricá RJ,1,"1,00","100,00%","0,00%",00:00:00,"0,00"
Concurso público para quem tem apenas ensino médio,1,"3,00","0,00%","0,00%",00:02:17,"3,00"
Concurso público para rio de Janeiro,1,"2,00","0,00%","0,00%",00:02:08,"4,00"
Concurso público pra merendeira,1,"2,00","100,00%","0,00%",00:00:00,"0,00"
concurso publico regiao suldeste do para,1,"2,00","0,00%","0,00%",00:01:03,"4,00"
Concurso público RJ,1,"2,00","0,00%","50,00%",00:01:55,"3,00"
Concurso Queimadod,1,"1,00","0,00%","100,00%",00:00:22,"0,00"
concurso queimados 2001,1,"4,00","0,00%","0,00%",00:00:52,"2,00"
Concurso Queimados educação,1,"1,00","0,00%","0,00%",00:29:37,"4,00"
